summary; no; steps; expectedresult
"Charge Fee - No Discount - Berhasil Printout Surcharge Include PPN";"1";"Buat FSO dengan pelanggan kena charge fee dan tidak ada disc item/disc faktur";"FSO berisi charge fee dan tidak ada disc item/disc faktur berhasil terbentuk "
"";"2";"Buka Menu SMGP FDo";"Berhasil menampilkan form FDo"
"";"3";"Buat FDo dari FSo yang sudah terbentuk";"Berhasil membuat FDo dengan FSo yang ada"
"";"4";"Pilih Template Print Out Surcharge Include PPN";"Berhasil memilih template print out surcharge include PPN"
"";"5";"Pilih ""Dilaksanakan"" dari dropdown status dokumen";"Berhasil memilih status ""Dilaksanakan"""
"";"6";"Simpan FDo";"FDo berhasil disimpan dan dilaksanakan"
"";"7";"Cetak Dokumen";"Berhasil mencetak dengan file atau printer"
"";"8";"Check field Harga Jual, Diskon item, Charge fee, Subtotal, dan Total";"- Harga jual tidak berubah\n- Diskon Faktur: jumlah diskon faktur\n- Total di printout inc PPN dengan printout exc PPN Balance"
"Charge Fee - No Discount - Berhasil Printout Surcharge Exclude PPN";"1";"Buat FSO dengan pelanggan kena charge fee dan tidak ada disc item/disc faktur";"FSO berisi charge fee dan tidak ada disc item/disc faktur berhasil terbentuk "
"";"2";"Buka Menu SMGP FDo";"Berhasil menampilkan form FDo"
"";"3";"Buat FDo dari FSo yang sudah terbentuk";"Berhasil membuat FDo dengan FSo yang ada"
"";"4";"Pilih template Print Out Surcharge Exclude PPN";"Berhasil memilih template print out surcharge exclude PPN"
"";"5";"Pilih ""Dilaksanakan"" dari dropdown status dokumen";"Berhasil memilih status ""Dilaksanakan"""
"";"6";"Simpan FDo";"FDo berhasil disimpan dan dilaksanakan"
"";"7";"Cetak Dokumen";"Berhasil mencetak dengan file atau printer"
"";"8";"Check field Harga Jual, Diskon item, Charge fee, Subtotal, dan Total";"- Harga jual tidak berubah\n- Diskon Faktur: jumlah diskon faktur\n- PPN 11%\n- Total di printout inc PPN dengan printout exc PPN Balance"
"Free Charge Fee - Berhasil Printout Include PPN";"1";"Buat FSO dengan pelanggan free charge fee ";"FSO item berhasil terbentuk dan tidak ada muncul charge fee"
"";"2";"Buka Menu SMGP FDo";"Berhasil menampilkan form FDo"
"";"3";"Buat FDo dari FSo yang sudah terbentuk";"Berhasil membuat FDo dengan FSo yang ada"
"";"4";"Pilih template Print Out Include PPN";"Berhasil memilih template print out include PPN"
"";"5";"Pilih ""Dilaksanakan"" dari dropdown status dokumen";"Berhasil memilih status ""Dilaksanakan"""
"";"6";"Simpan FDo";"FDo berhasil disimpan dan dilaksanakan"
"";"7";"Cetak Dokumen";"Berhasil mencetak dengan file atau printer"
"";"8";"Check field Harga Jual, Diskon item, Charge fee, Subtotal, dan Total";"- Harga jual tidak berubah\n- Diskon Faktur: Diskon Faktur\n- Total di prinout inc PPN dengan printout exc PPN Balance"
"Free Charge Fee - Berhasil Printout Exclude PPN";"1";"Buat FSO dengan pelanggan free charge fee dan berisi disc item";"FSO berisi disc item berhasil terbentuk dan tidak ada muncul charge fee"
"";"2";"Buka Menu SMGP FDo";"Berhasil menampilkan form FDo"
"";"3";"Buat FDo dari FSo yang sudah terbentuk";"Berhasil membuat FDo dengan FSo yang ada"
"";"4";"Pilih template Print Out Exclude PPN";"Berhasil memilih template print out exclude PPN"
"";"5";"Pilih ""Dilaksanakan"" dari dropdown status dokumen";"Berhasil memilih status ""Dilaksanakan"""
"";"6";"Simpan FDo";"FDo berhasil disimpan dan dilaksanakan"
"";"7";"Cetak Dokumen";"Berhasil mencetak dengan file atau printer"
"";"8";"Check field Harga Jual, Diskon item, Charge fee, Subtotal, dan Total";"- Harga jual tidak berubah\n- Diskon Faktur: Diskon Faktur\n- Total di prinout inc PPN dengan printout exc PPN Balance"
"Charge Fee -  Print invalid template print out";"1";"Buat FSO dengan pelanggan kena charge fee";"FSO berisi  charge fee berhasil terbentuk "
"";"2";"Buka Menu SMGP FDo";"Berhasil menampilkan form FDo"
"";"3";"Buat FDo dari FSo yang sudah terbentuk";"Berhasil membuat FDo dengan FSo yang ada"
"";"4";"Pilih template print out\n- Include PPN \n- Exclude PPN\n- Include PPN (Text)\n- Exclude PPN (Text)";"1. Memunculkan error pop-up ""Tidak bisa melakukan Print. Gunakan form “Print Out Surcharge”"
"Free Charge Fee - Print invalid template print out";"1";"Buat FSO dengan pelanggan kena charge fee";"FSO berisi  charge fee berhasil terbentuk "
"";"2";"Buka Menu SMGP FDo";"Berhasil menampilkan form FDo"
"";"3";"Buat FDo dari FSo yang sudah terbentuk";"Berhasil membuat FDo dengan FSo yang ada"
"";"4";"Pilih template print out \n- print out surcharge include PPN\n- print out surcharge exclude PPN";"1. Memunculkan error pop-up ""Tidak bisa melakukan Print. Gunakan form selain “Print Out Surcharge”"
"Checking Printout 2 DO from 1 SO - (Partial) with 1 DO from 1 SO";"1";"Buat FSO dengan pelanggan charge fee dan qty stock produk <  qty produk di SO";"Berhasil create FSO dengan pelanggan charge fee"
"";"2";"Buka Menu Booking Order";"Menampilkan halaman booking order"
"";"3";"Click ""Tampilkan""";"Menampilkan FSO dengan range tanggal yang sudah diinput"
"";"4";"Checklist FSO sebelumnya";"FSO bisa di checklist"
"";"5";"Click ""Booking Stok""";"FDO partial berhasil terbentuk"
"";"6";"Ubah status FDO 1 menjadi dilaksanakan";"FDO partial berhasil diubah menjadi dilaksanakan dan bisa melakukan booking order kembali di FSO yang sama"
"";"7";"Buka Menu Booking Order";"Menampilkan halaman booking order"
"";"8";"Checklist FSO sebelumnya";"FSO bisa di checklist"
"";"9";"Click ""Booking Stok""";"FDO kedua berhasil terbentuk dan FSO berubah status menjadi Close dan status booking berubah menjadi full"
"";"10";"Buat 1 SO baru dan 1 DO dari SO tersebut dengan qty produk yang sama dengan case partial";"1 DO dari 1 SO berhasil terbentuk dengan qty yang sama dengan case partial"
"";"11";"Bandingkan 2 DO dari 1 SO dengan 1 DO dari 1 SO";"Beban charge fee dibagi sesuai perhitungan dan totalnya 2 DO dengan 1 DO akan balance"
